Rank,Model,MAE,RMSE,R2
1,Random Forest,15.48000049602686,20.689831974358043,0.7016883435118658
2,Polynomial Ridge,16.162849103829355,21.184487157052377,0.6799459000585826
3,XGBoost,15.480430423608635,21.208592025994413,0.6798986777461871
4,Neural Network,17.60528554010655,23.035038200674098,0.6273641301671619
5,Linear Regression,18.062583958786433,23.081991261351526,0.6170740506508344
6,Ridge Regression,18.270886787057805,23.30406051189996,0.6126656080431551
